date,price,symbol
2024-11-21,120.57722473144531,IJR
2024-11-22,122.6067886352539,IJR
2024-11-25,124.89124298095703,IJR
2024-11-26,123.68529510498047,IJR
2024-11-27,123.75392150878906,IJR
2024-11-29,124.057861328125,IJR
2024-12-02,124.35200500488281,IJR
2024-12-03,123.43035888671875,IJR
2024-12-04,123.86177825927734,IJR
2024-12-05,122.07733917236328,IJR
2024-12-06,122.0871353149414,IJR
2024-12-09,121.9400634765625,IJR
2024-12-10,121.5086669921875,IJR
2024-12-11,122.23419952392578,IJR
2024-12-12,121.25373077392578,IJR
2024-12-13,120.4301528930664,IJR
2024-12-16,120.8615493774414,IJR
2024-12-17,119.15746307373047,IJR
2024-12-18,114.30843353271484,IJR
2024-12-19,113.8927993774414,IJR
2024-12-20,114.62510681152344,IJR
2024-12-23,114.42718505859375,IJR
2024-12-24,115.38710021972656,IJR
2024-12-26,116.16888427734375,IJR
2024-12-27,114.59542846679688,IJR
2024-12-30,113.77405548095703,IJR
2024-12-31,114.02144622802734,IJR
2025-01-02,113.77405548095703,IJR
2025-01-03,115.02095031738281,IJR
2025-01-06,115.01105499267578,IJR
2025-01-07,114.15999603271484,IJR
2025-01-08,114.18968963623047,IJR
2025-01-10,111.90371704101562,IJR
2025-01-13,112.35893249511719,IJR
2025-01-14,113.8927993774414,IJR
2025-01-15,115.8126220703125,IJR
2025-01-16,116.14909362792969,IJR
2025-01-17,116.76263427734375,IJR
2025-01-21,118.71215057373047,IJR
2025-01-22,117.68296813964844,IJR
2025-01-23,118.07881164550781,IJR
2025-01-24,117.8313980102539,IJR
2025-01-27,117.5345230102539,IJR
2025-01-28,117.46524810791016,IJR
2025-01-29,117.08920288085938,IJR
2025-01-30,118.19755554199219,IJR
2025-01-31,117.20796203613281,IJR
2025-02-03,115.65428924560547,IJR
2025-02-04,116.9506607055664,IJR
2025-02-05,117.9996337890625,IJR
2025-02-06,117.57410430908203,IJR
2025-02-07,115.93138122558594,IJR
2025-02-10,116.06002044677734,IJR
2025-02-11,115.85221099853516,IJR
2025-02-12,114.39749145507812,IJR
2025-02-13,115.96106719970703,IJR
2025-02-14,115.87200164794922,IJR
2025-02-18,116.59440612792969,IJR
