date,price,symbol
2024-11-21,52.36128616333008,IEMG
2024-11-22,52.41930389404297,IEMG
2024-11-25,52.47732162475586,IEMG
2024-11-26,52.30326843261719,IEMG
2024-11-27,52.32260513305664,IEMG
2024-11-29,52.5160026550293,IEMG
2024-12-02,52.64170455932617,IEMG
2024-12-03,52.76741409301758,IEMG
2024-12-04,52.89311981201172,IEMG
2024-12-05,53.2315559387207,IEMG
2024-12-06,53.12519073486328,IEMG
2024-12-09,54.11149597167969,IEMG
2024-12-10,53.289573669433594,IEMG
2024-12-11,53.56032180786133,IEMG
2024-12-12,53.25089645385742,IEMG
2024-12-13,53.279903411865234,IEMG
2024-12-16,53.05750274658203,IEMG
2024-12-17,52.86288070678711,IEMG
2024-12-18,51.63787841796875,IEMG
2024-12-19,51.874977111816406,IEMG
2024-12-20,52.04292297363281,IEMG
2024-12-23,52.33929443359375,IEMG
2024-12-24,52.48748016357422,IEMG
2024-12-26,52.30965805053711,IEMG
2024-12-27,52.102195739746094,IEMG
2024-12-30,51.677398681640625,IEMG
2024-12-31,51.58848571777344,IEMG
2025-01-02,51.49957275390625,IEMG
2025-01-03,51.96388626098633,IEMG
2025-01-06,52.11207580566406,IEMG
2025-01-07,51.75642776489258,IEMG
2025-01-08,51.48969268798828,IEMG
2025-01-10,50.57093811035156,IEMG
2025-01-13,50.21529769897461,IEMG
2025-01-14,50.758644104003906,IEMG
2025-01-15,51.38102340698242,IEMG
2025-01-16,51.35138702392578,IEMG
2025-01-17,51.746551513671875,IEMG
2025-01-21,52.2800178527832,IEMG
2025-01-22,52.28989791870117,IEMG
2025-01-23,52.48748016357422,IEMG
2025-01-24,52.70481872558594,IEMG
2025-01-27,51.75642776489258,IEMG
2025-01-28,52.1417121887207,IEMG
2025-01-29,52.161468505859375,IEMG
2025-01-30,52.9814338684082,IEMG
2025-01-31,52.34917449951172,IEMG
2025-02-03,52.03303909301758,IEMG
2025-02-04,52.91228103637695,IEMG
2025-02-05,52.803611755371094,IEMG
2025-02-06,53.040706634521484,IEMG
2025-02-07,52.991310119628906,IEMG
2025-02-10,53.564300537109375,IEMG
2025-02-11,53.31732177734375,IEMG
2025-02-12,53.60381317138672,IEMG
2025-02-13,53.910064697265625,IEMG
2025-02-14,54.27558898925781,IEMG
2025-02-18,54.6312370300293,IEMG
2025-02-19,54.52256393432617,IEMG
2025-02-20,55.04615783691406,IEMG
2025-02-21,54.848575592041016,IEMG
2025-02-24,54.06813049316406,IEMG
2025-02-25,54.0977668762207,IEMG
2025-02-26,54.571964263916016,IEMG
2025-02-27,53.49514389038086,IEMG
2025-02-28,52.79372787475586,IEMG
2025-03-03,52.36893081665039,IEMG
2025-03-04,52.754215240478516,IEMG
2025-03-05,54.324989318847656,IEMG
2025-03-06,53.989097595214844,IEMG
2025-03-07,54.2261962890625,IEMG
2025-03-10,52.991310119628906,IEMG
2025-03-11,53.356834411621094,IEMG
2025-03-12,53.6532096862793,IEMG
2025-03-13,53.39635467529297,IEMG
2025-03-14,54.364501953125,IEMG
2025-03-17,55.26349639892578,IEMG
2025-03-18,55.016517639160156,IEMG
2025-03-19,55.085670471191406,IEMG
2025-03-20,54.601600646972656,IEMG
2025-03-21,54.41389846801758,IEMG
2025-03-24,54.58184051513672,IEMG
2025-03-25,54.4929313659668,IEMG
2025-03-26,54.16692352294922,IEMG
2025-03-27,54.40401840209961,IEMG
2025-03-28,53.43587112426758,IEMG
2025-03-31,53.31732177734375,IEMG
2025-04-01,53.55441665649414,IEMG
2025-04-02,53.61369323730469,IEMG
2025-04-03,52.51711654663086,IEMG
2025-04-04,49.65218734741211,IEMG
2025-04-07,47.893714904785156,IEMG
2025-04-08,47.162662506103516,IEMG
2025-04-09,50.42275619506836,IEMG
2025-04-10,49.54351806640625,IEMG
2025-04-11,51.035255432128906,IEMG
2025-04-14,51.50945281982422,IEMG
2025-04-15,51.469932556152344,IEMG
2025-04-16,50.88706970214844,IEMG
2025-04-17,51.34151077270508,IEMG
2025-04-21,51.32175064086914,IEMG
2025-04-22,52.092315673828125,IEMG
2025-04-23,52.62578582763672,IEMG
2025-04-24,53.29756546020508,IEMG
2025-04-25,53.109859466552734,IEMG
2025-04-28,53.2481689453125,IEMG
2025-04-29,53.44574737548828,IEMG
2025-04-30,53.51490020751953,IEMG
2025-05-01,53.48526382446289,IEMG
2025-05-02,55.036277770996094,IEMG
2025-05-05,55.4808349609375,IEMG
